Parish,Year,Hispanic (Any Race),Total change from previous decade,Percent change from previous decade,Share of total,Percent Hispanic (Any Race)
Jefferson,1980,21772,-,-,43%,5%
Jefferson,1990,26611,"4,839",22%,49%,6%
Jefferson,2000,32418,"5,807",22%,55%,7%
Jefferson,2010,53702,"21,284",66%,58%,12%
Jefferson,2020,79057,25355,0.472142564522737,0.538025983571414,0.17935664196052
Orleans,1980,19226,-,-,38%,3%
Orleans,1990,17238,"-1,988",-10%,32%,3%
Orleans,2000,14826,"-2,412",-14%,25%,3%
Orleans,2010,18051,"3,225",22%,20%,5%
Orleans,2020,31017,12966,0.718298155226857,0.211087594171731,0.0807740685474105
Plaquemines,1980,715,-,-,1%,3%
Plaquemines,1990,590,-125,-17%,1%,2%
Plaquemines,2000,433,-157,-27%,1%,2%
Plaquemines,2010,1067,634,146%,1%,5%
Plaquemines,2020,2236,1169,1.09559512652296,0.0152171989737238,0.0950882415479481
St. Bernard,1980,5162,-,-,10%,8%
St. Bernard,1990,4183,-979,-19%,8%,6%
St. Bernard,2000,3425,-758,-18%,6%,5%
St. Bernard,2010,3309,-116,-3%,4%,9%
St. Bernard,2020,6010,2701,0.816258688425506,0.0409013264007513,0.13732748377662
St. Charles,1980,823,-,-,2%,2%
St. Charles,1990,1070,247,30%,2%,3%
St. Charles,2000,1346,276,26%,2%,3%
St. Charles,2010,2648,"1,302",97%,3%,5%
St. Charles,2020,4141,1493,0.563821752265861,0.0281817625000851,0.0788026413442692
St. John the Baptist,1980,678,-,-,1%,2%
St. John the Baptist,1990,954,276,41%,2%,2%
St. John the Baptist,2000,1230,276,29%,2%,3%
St. John the Baptist,2010,2175,945,77%,2%,5%
St. John the Baptist,2020,3291,1116,0.513103448275862,0.0223970491156194,0.0774772229677237
St. Tammany,1980,2255,-,-,4%,2%
St. Tammany,1990,3170,915,41%,6%,2%
St. Tammany,2000,4737,"1,567",49%,8%,2%
St. Tammany,2010,10970,"6,233",132%,12%,5%
St. Tammany,2020,20844,9874,0.900091157702826,0.141854783277414,0.078784442680576
New Orleans Metro Total,1980,50631,-,-,100%,4%
New Orleans Metro Total,1990,53816,"3,185",6%,100%,4%
New Orleans Metro Total,2000,58415,"4,599",9%,100%,4%
New Orleans Metro Total,2010,91922,"33,507",57%,100%,8%
New Orleans Metro Total,2020,146939,55017,0.59851830900111,1,0.115532159972324
St. James,1980,NA,NA,NA,NA,NA
St. James,1990,NA,NA,NA,NA,NA
St. James,2000,NA,NA,NA,NA,NA
St. James,2010,256,NA,NA,NA,NA
St. James,2020,343,87,0.33984375,0.00233430198926085,0.0169869255150555
