Parish,Year,"White Alone, Not Hispanic",Total change from previous decade,Percent change from previous decade,Share of total,"Percent         White Alone, Not Hispanic"
Jefferson,1980,362812,-,-,45%,80%
Jefferson,1990,331894,"-30,918",-9%,44%,74%
Jefferson,2000,298062,"-33,832",-10%,41%,65%
Jefferson,2010,242268,"-55,794",-19%,39%,56%
Jefferson,2020,208385,-33883,-0.139857513167236,0.338938804455317,0.472763118192481
Orleans,1980,224694,-,-,28%,40%
Orleans,1990,164526,"-60,168",-27%,22%,33%
Orleans,2000,128871,"-35,655",-22%,18%,27%
Orleans,2010,104770,"-24,101",-19%,17%,30%
Orleans,2020,121385,16615,0.158585472940727,0.197433053141102,0.316109240436774
Plaquemines,1980,19369,-,-,2%,74%
Plaquemines,1990,18091,"-1,278",-7%,2%,71%
Plaquemines,2000,18412,321,2%,3%,69%
Plaquemines,2010,15617,"-2,795",-15%,2%,68%
Plaquemines,2020,13764,-1853,-0.118652750208107,0.0223871857596419,0.58532851371465
St. Bernard,1980,55976,-,-,7%,87%
St. Bernard,1990,58424,"2,448",4%,8%,88%
St. Bernard,2000,56723,"-1,701",-3%,8%,84%
St. Bernard,2010,24607,"-32,116",-57%,4%,69%
St. Bernard,2020,23165,-1442,-0.0586012110375096,0.0376779394160204,0.529316333059135
St. Charles,1980,26944,-,-,3%,72%
St. Charles,1990,30913,"3,969",15%,4%,73%
St. Charles,2000,33901,"2,988",10%,5%,71%
St. Charles,2010,34925,"1,024",3%,6%,66%
St. Charles,2020,32708,-2217,-0.063478883321403,0.0531996564825899,0.622428590458429
St. John the Baptist,1980,19152,-,-,2%,60%
St. John the Baptist,1990,24399,"5,247",27%,3%,61%
St. John the Baptist,2000,21946,"-2,453",-10%,3%,51%
St. John the Baptist,2010,18374,"-3,572",-16%,3%,40%
St. John the Baptist,2020,13348,-5026,-0.273538695983455,0.0217105605579556,0.314240647880029
St. Tammany,1980,94091,-,-,12%,85%
St. Tammany,1990,124191,"30,100",32%,17%,86%
St. Tammany,2000,163061,"38,870",31%,23%,85%
St. Tammany,2010,188317,"25,256",15%,30%,81%
St. Tammany,2020,192144,3827,0.0203221164313365,0.312522771040441,0.726250141739426
New Orleans Metro Total,1980,803038,-,-,100%,63%
New Orleans Metro Total,1990,752438,"-50,600",-6%,100%,60%
New Orleans Metro Total,2000,720976,"-31,462",-4%,100%,55%
New Orleans Metro Total,2010,628878,"-92,098",-13%,100%,54%
New Orleans Metro Total,2020,614816,-14062,-0.0223604578312487,1,0.483404817410927
St. James,1980,NA,NA,NA,NA,NA
St. James,1990,NA,NA,NA,NA,NA
St. James,2000,NA,NA,NA,NA,NA
St. James,2010,10478,NA,NA,NA,NA
St. James,2020,9917,-561,-0.0535407520519183,0.0161300291469318,0.491135103011093
